"trip","date.x","date.y","day.int","month.int","year.int","cmonth","cyear","cday","effort.days"
"2011_04",2011-04-13,2011-04-14,27,0.89,0.07,0.89,0.07,27,2
"2011_05",2011-05-11,2011-05-12,105,3.45,0.29,4.34,0.36,132,2
"2011_08",2011-08-25,2011-08-26,20,0.66,0.05,5,0.41,152,2
"2011_09",2011-09-15,2011-09-16,45,1.48,0.12,6.48,0.53,197,2
"2011_11",2011-10-31,2011-11-01,107,3.52,0.29,10,0.82,304,2
"2012_02",2012-02-16,2012-02-17,90,2.96,0.25,12.96,1.07,394,2
"2012_05",2012-05-17,2012-05-18,243,7.98,0.67,20.94,1.74,637,2
"2013_01",2013-01-16,2013-01-17,166,5.45,0.45,26.39,2.19,803,2
"2013_07",2013-07-02,2013-07-04,334,10.97,0.91,37.36,3.1,1137,3
"2014_06",2014-06-03,2014-06-05,270,8.87,0.74,46.23,3.84,1407,3
"2015_03",2015-03-02,2015-03-05,376,12.35,1.03,58.58,4.87,1783,4
"2016_03",2016-03-15,2016-03-18,144,4.73,0.39,63.31,5.26,1927,4
"2016_08",2016-08-09,2016-08-12,200,6.57,0.55,69.88,5.81,2127,4
"2017_03",2017-02-28,2017-03-03,158,5.19,0.43,75.07,6.24,2285,4
"2017_08",2017-08-08,2017-08-11,200,6.57,0.55,81.64,6.79,2485,4
"2018_02",2018-02-27,2018-03-02,151,4.96,0.41,86.6,7.2,2636,4
"2018_08",2018-07-31,2018-08-03,410,13.47,1.12,100.07,8.32,3046,4
"2019_09",2019-09-17,2019-09-20,508,16.69,1.39,116.76,9.71,3554,4
"2021_02",2021-02-09,2021-02-12,130,4.27,0.36,121.03,10.07,3684,4
"2021_06",2021-06-22,2021-06-25,NA,NA,NA,NA,NA,NA,4
